episode,reward,safety_violations,episode_length
1,-46.8,4,175
2,-45.2,3,182
3,-44.1,5,189
4,-42.9,4,196
5,-41.6,3,203
6,-40.4,4,210
7,-39.2,3,217
8,-38.0,5,224
9,-36.8,4,231
10,-35.6,3,238
11,-34.4,4,245
12,-33.2,3,252
13,-32.0,2,259
14,-30.8,4,266
15,-29.6,3,273
16,-28.4,2,280
17,-27.2,4,287
18,-26.0,3,294
19,-24.8,2,301
20,-23.6,3,308
25,-19.2,3,340
30,-15.4,2,372
35,-12.1,3,402
40,-9.2,2,430
45,-6.8,3,456
50,-4.7,2,480
75,2.1,2,571
100,7.8,3,636
125,11.9,2,685
150,15.2,3,720
175,17.8,2,748
200,19.9,3,770
250,23.1,2,801
300,25.2,3,822
350,26.8,2,838
400,28.0,3,850
450,28.9,2,860
500,29.6,3,868
550,30.1,2,875
600,30.5,2,881
650,30.8,3,886
700,31.0,2,890
750,31.2,2,893
800,31.3,3,896
850,31.4,2,898
900,31.5,2,900
950,31.6,3,902
1000,31.7,2,904
