episode,reward,safety_violations,episode_length
1,-48.2,3,182
2,-46.8,2,195
3,-45.1,4,201
4,-47.3,1,188
5,-44.9,3,207
6,-43.2,2,215
7,-42.5,1,223
8,-41.8,2,234
9,-40.3,3,241
10,-39.7,1,248
11,-38.9,2,256
12,-37.4,1,264
13,-36.8,0,272
14,-35.2,2,278
15,-34.6,1,285
16,-33.9,1,293
17,-32.4,0,301
18,-31.7,2,308
19,-30.8,1,316
20,-29.9,0,324
25,-25.4,1,362
30,-21.8,0,398
35,-18.3,1,426
40,-15.2,0,454
45,-12.8,1,478
50,-10.1,0,501
75,-2.4,1,598
100,4.8,0,652
125,9.2,1,687
150,12.6,0,715
175,15.1,0,738
200,16.9,1,756
250,19.8,0,785
300,21.4,0,802
350,22.7,1,814
400,23.8,0,823
450,24.6,0,831
500,25.2,0,837
550,25.7,1,842
600,26.1,0,846
650,26.4,0,849
700,26.6,0,852
750,26.8,0,854
800,26.9,1,856
850,27.0,0,857
900,27.1,0,858
950,27.2,0,859
1000,27.3,0,860
